# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Thu Jan 23 14:55:12 CET 2025 [seed=1737640490054]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(untitled0)	age(untitled0)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
32000	-3837.451467763141	-140.762331232645	-3696.689136530496	88.3806360986274	1935.3673091068522	637.5183600945511	88.3806360986274	1935.3673091068522	204.44982604940725	5.243394081448912	0.24155521667454374	0.24435806712584218	0.2993120149506679	0.2147747012489465	0.0018750668461848603	0.0018750668461848601	-3696.689136530496	0.0	-131.78397875091994
33000	-3857.0271143182854	-158.98577508348774	-3698.0413392347978	194.20684687811695	1829.5410983273625	1475.4491347362173	194.20684687811695	1829.5410983273625	331.94532518344033	4.5790800530713565	0.24290016148894797	0.24917637668702755	0.29159485741774366	0.21632860440628118	7.96724526847135E-4	7.967245268471353E-4	-3698.0413392347978	0.0	-150.44969798495106
34000	-3857.118850791096	-157.16983564875318	-3699.949015142343	177.09642281603914	1846.6515223894403	1348.623256455494	177.09642281603914	1846.6515223894403	311.6874478629851	4.56505881015031	0.24018755194547778	0.26374289067497436	0.3061353530515484	0.18993420432799987	8.093684060673537E-4	8.093684060673536E-4	-3699.949015142343	0.0	-148.75219182904786
35000	-3854.7249108902847	-155.07531884170075	-3699.649592048584	155.42439018639467	1868.3235550190848	1169.9038881556703	155.42439018639467	1868.3235550190848	352.5482941972784	5.210935140138978	0.2635215851909145	0.21533138697833282	0.3118099768298437	0.20933705100090938	9.775632508982788E-4	9.775632508982788E-4	-3699.649592048584	0.0	-146.0943056954233
36000	-3840.0786422960764	-145.9129149396788	-3694.1657273563974	115.87840339183892	1907.8695418136406	855.4501112378618	115.87840339183892	1907.8695418136406	167.22464643693507	4.553315193592367	0.2626209884894663	0.21563773764906033	0.3093900067371477	0.21235126712432603	0.0013575503761585205	0.0013575503761585203	-3694.1657273563974	0.0	-137.7092214867884
37000	-3842.616583409971	-149.3248060902395	-3693.2917773197314	134.92606582675947	1888.82187937872	998.0679819177024	134.92606582675947	1888.82187937872	216.98348463995703	4.900073480853734	0.2518289112222957	0.22833701162445214	0.30002398281638915	0.2198100943368634	0.0011412524676252013	0.0011412524676252013	-3693.2917773197314	0.0	-140.8979253589001
38000	-3847.0790104085436	-152.91168253434404	-3694.1673278741996	138.90911999954062	1884.838825205939	1089.3532972976186	138.90911999954062	1884.838825205939	323.0313683610868	4.4951335905110374	0.2525122172476864	0.24869438224278867	0.27625712363253146	0.22253627687699395	0.001139194576560819	0.001139194576560819	-3694.1673278741996	0.0	-144.04034976783646
39000	-3847.6207937565696	-151.62710864386162	-3695.993685112708	135.3269047296044	1888.421040475875	1062.2533048102541	135.3269047296044	1888.421040475875	283.43552813283407	4.837253647730967	0.25137368303242047	0.25220733698426945	0.2843451805452988	0.2120737994380118	0.0011108771233967053	0.0011108771233967055	-3695.993685112708	0.0	-142.8882613983831
40000	-3840.701693412302	-150.81967748354793	-3689.8820159287543	134.7675244277904	1888.980420777689	1044.9884628258717	134.7675244277904	1888.980420777689	188.30355612310007	4.666495142838993	0.2546744581196221	0.22259583328209326	0.30750093755159386	0.21522877104669125	0.001055513388563604	0.0010555133885636037	-3689.8820159287543	0.0	-142.727666272875
41000	-3850.2590654953297	-151.20172769030205	-3699.0573378050276	133.16959613144013	1890.5783490740394	1053.7100329004916	133.16959613144013	1890.5783490740394	195.45855255227957	5.09821639217575	0.25317543763327716	0.23276806547422735	0.28882289106381454	0.22523360582868143	0.001112717637221199	0.0011127176372211995	-3699.0573378050276	0.0	-142.85199956047006
